Date,City,Humidity,AcresBurned
20200101,Chula Vista,55.99,47.83
20200101,Citrus Heights,24.69,107.6
20200101,Claremont,54.39,83.83
20200101,Clayton,50.39,68.4
20200101,Clearlake,40.36,95.39
20200101,Cloverdale,21.09,111.42
20200101,Clovis,9.2,37.67
20200101,Coachella,24.31,78.55
20200101,Coalinga,39.21,100.02
20200101,Colfax,26.56,128.36
20200101,Colma,5.23,109.18
20200101,Colton,36.84,84.76
20200101,Colusa,39.22,51.11
20200101,Commerce,18.88,102.91
20200101,Compton,9.01,77.55
20200101,Concord,6.32,117.67
20200101,Corcoran,21.55,54.69
20200101,Corning,59.82,87.08
20200101,Corona,32.28,123.58
20200101,Coronado,34.02,71.8
20200101,Corte Madera,38.39,67.35
20200101,Costa Mesa,15.78,110.46
20200101,Cotati,45.98,42.62
20200101,Covina,7.76,82.28
20200101,Crescent City,6.08,61.84
20200101,Cudahy,48.93,108.17
20200101,Culver City,5.71,129.77
20200101,Cupertino,4.59,86.2
20200101,Cypress,47.65,79.81
20200101,Daly City,35.8,90.82
20200101,Dana Point,58.21,53.09
20200101,Danville,44.01,57.04
20200101,Davis,19.61,72.38
20200101,Del Mar,39.21,78.89
20200101,Del Rey Oaks,48.65,61.77
20200101,Delano,0.99,80.28
20200101,Desert Hot Springs,41.67,78.36
20200101,Diamond Bar,50.8,112.75
20200101,Dinuba,54.58,111.88
20200101,Dixon,40.76,47.89
20200101,Dorris,44.29,108.78
20200101,Dos Palos,10.7,52.11
20200101,Downey,23.17,44.15
20200101,Duarte,34.66,120.34
20200101,Dublin,32.96,112.83
20200101,Dunsmuir,40.31,66.83
20200101,East Palo Alto,27.34,48.0
20200101,Eastvale,34.25,84.22
20200101,El Cajon,27.17,120.97
20200101,El Centro,12.8,95.39
20200101,El Cerrito,7.3,103.37
20200101,El Monte,14.56,108.24
20200101,El Segundo,34.54,38.5
20200101,Elk Grove,7.7,56.9
20200101,Emeryville,59.48,73.77
20200101,Encinitas,58.06,30.25
20200101,Escalon,38.87,121.99
20200101,Escondido,15.56,77.14
20200101,Etna,44.43,55.56
20200101,Eureka,28.49,30.36
20200101,Exeter,44.31,77.71
20200101,Fairfax,47.68,32.6
20200101,Fairfield,43.03,83.62
20200101,Farmersville,48.78,39.02
20200101,Ferndale,50.88,125.78
20200101,Fillmore,32.43,115.97
20200101,Firebaugh,7.37,54.1
20200101,Folsom,17.42,101.97
20200101,Fontana,54.67,34.91
20200101,Fort Bragg,11.24,82.02
20200101,Fort Jones,56.53,109.55
20200101,Fortuna,41.25,36.15
20200101,Foster City,49.56,122.31
20200101,Fountain Valley,55.32,30.17
20200101,Fowler,20.44,48.64
20200101,Fremont,17.54,70.17
20200101,Fresno,7.05,33.9
20200101,Fullerton,0.78,61.98
20200101,Galt,31.79,78.0
20200101,Garden Grove,50.82,54.79
20200101,Gardena,49.88,61.11
20200101,Gilroy,24.02,67.41
20200101,Glendale,8.97,40.33
20200101,Glendora,25.86,64.28
20200101,Goleta,15.35,103.21
20200101,Gonzales,19.45,112.19
20200101,Grand Terrace,41.37,47.17
20200101,Grass Valley,52.16,115.57
20200101,Greenfield,22.69,43.17
20200101,Gridley,56.85,94.56
20200101,Grover Beach,58.29,110.12
20200101,Guadalupe,6.16,103.75
20200101,Gustine,50.92,88.51
20200101,Half Moon Bay,36.33,102.38
20200101,Hanford,3.33,70.37
20200101,Hawaiian Gardens,17.33,97.18
20200101,Hawthorne,59.98,104.99
20200101,Hayward,52.08,45.97
20200101,Healdsburg,46.8,82.5
20200101,Hemet,52.49,54.03
20200101,Hercules,59.45,113.43
20200101,Hermosa Beach,51.84,79.45
20200101,Hesperia,27.29,94.12
20200101,Hidden Hills,26.04,92.33
20200101,Highland,40.53,76.86
20200101,Hillsborough,17.51,120.27
20200101,Hollister,38.23,44.83
20200101,Holtville,58.85,113.99
20200101,Hughson,9.18,30.92
20200101,Huntington Beach,0.9,34.34
20200101,Huntington Park,11.76,78.79
20200101,Huron,9.53,37.68
20200101,Imperial,50.67,107.93
20200101,Imperial Beach,34.77,30.85
20200101,Indian Wells,50.65,95.71
20200101,Indio,18.16,129.66
20200101,City of Industry,9.64,79.13
20200101,Inglewood,42.55,46.59
20200101,Ione,40.49,85.52
20200101,Irvine,46.26,103.88
20200101,Irwindale,57.44,124.97
20200101,Isleton,13.54,94.13
20200101,Jackson,53.36,43.12
20200101,Jurupa Valley,41.81,53.15
20200101,Kerman,40.41,97.22
20200101,King City,9.39,82.43
20200101,Kingsburg,45.12,112.2
20200101,La Ca�ada Flintridge,6.55,126.1
20200101,La Habra,24.04,83.92
20200101,La Habra Heights,45.21,64.14
20200101,La Mesa,46.02,89.55
20200101,La Mirada,20.36,58.53
20200101,La Palma,10.63,117.07
20200101,La Puente,40.63,114.77
20200101,La Quinta,52.2,56.49
20200101,La Verne,50.09,123.18
20200101,Lafayette,55.64,113.03
20200101,Laguna Beach,3.09,50.19
20200101,Laguna Hills,55.6,63.11
20200101,Laguna Niguel,29.88,82.27
20200101,Laguna Woods,27.46,90.55
20200101,Lake Elsinore,17.44,112.91
20200101,Lake Forest,37.27,43.73
20200101,Lakeport,28.24,73.18
20200101,Lakewood,21.4,107.46
20200101,Lancaster,22.95,114.86
20200101,Larkspur,32.83,74.53
20200101,Lathrop,19.85,33.58
20200101,Lawndale,41.86,82.61
20200101,Lemon Grove,7.31,106.35
20200101,Lemoore,7.03,92.94
20200101,Lincoln,17.22,114.63
20200101,Lindsay,19.72,106.79
20200101,Live Oak,55.45,78.19
20200101,Livermore,24.61,87.89
20200101,Livingston,31.87,73.81
20200101,Lodi,8.03,87.32
20200101,Loma Linda,26.94,79.95
20200101,Lomita,0.86,79.42
20200101,Lompoc,17.92,129.89
20200101,Long Beach,7.68,39.05
20200101,Loomis,5.06,91.95
20200101,Los Alamitos,24.24,49.54
20200101,Los Altos,37.07,41.56
20200101,Los Altos Hills,37.97,102.18
20200101,Los Angeles,5.25,95.08
20200101,Los Banos,45.99,116.67
20200101,Los Gatos,0.72,75.01
20200101,Loyalton,56.08,99.8
20200101,Lynwood,33.75,103.93
20200101,Madera,6.84,56.08
20200101,Malibu,11.92,105.54
20200101,Mammoth Lakes,29.29,100.06
20200101,Manhattan Beach,16.23,85.72
20200101,Manteca,59.39,55.47
20200101,Maricopa,36.32,95.91
20200101,Marina,43.21,90.2
20200101,Martinez,40.44,106.02
20200101,Marysville,5.53,76.37
20200101,Maywood,35.27,87.27
20200101,McFarland,52.68,91.7
20200101,Mendota,4.12,46.53
20200101,Menifee,35.08,85.78
20200101,Menlo Park,46.64,32.51
20200101,Merced,22.19,125.86
20200101,Mill Valley,10.19,109.42
20200101,Millbrae,17.92,62.46
20200101,Milpitas,49.16,44.59
20200101,Mission Viejo,0.62,57.64
20200101,Modesto,58.98,77.92
20200101,Monrovia,47.54,59.72
20200101,Montague,21.2,57.68
20200101,Montclair,20.73,114.64
20200101,Monte Sereno,55.86,95.86
20200101,Montebello,52.85,110.05
20200101,Monterey,35.65,114.46
20200101,Monterey Park,19.25,115.98
20200101,Moorpark,31.7,121.12
20200101,Moraga,19.94,37.58
20200101,Moreno Valley,8.87,123.35
20200101,Morgan Hill,35.95,110.88
20200101,Morro Bay,9.93,44.17
20200101,Mount Shasta,44.35,59.2
20200101,Mountain View,22.78,125.3
20200101,Murrieta,50.74,97.35
20200101,Napa,24.48,96.32
20200101,National City,5.41,62.37
20200101,Needles,22.75,102.51
20200101,Nevada City,5.97,68.84
20200101,Newark,2.78,128.93
20200101,Newman,1.4,124.98
20200101,Newport Beach,52.51,51.9
20200101,Norco,9.51,104.27
20200101,Norwalk,58.27,48.25
20200101,Novato,47.48,92.8
20200101,Oakdale,37.64,56.58
20200101,Oakland,48.72,33.2
20200101,Oakley,26.41,36.44
20200101,Oceanside,24.21,69.76
20200101,Ojai,11.46,111.91
20200101,Ontario,22.54,110.22
20200101,Orange,50.88,123.46
20200101,Orange Cove,9.17,96.36
20200101,Orinda,48.79,31.06
20200101,Orland,44.85,72.39
20200101,Oroville,49.86,83.33
20200101,Oxnard,54.92,101.09
20200101,Pacific Grove,27.15,110.99
20200101,Pacifica,3.8,45.28
20200101,Palm Desert,22.4,56.85
20200101,Palm Springs,36.3,117.71
20200101,Palmdale,35.13,96.72
20200101,Palo Alto,58.17,60.12
20200101,Palos Verdes Estates,10.09,56.83
20200101,Paradise,32.67,60.93
20200101,Paramount,34.99,45.68
20200101,Parlier,56.1,67.28
20200101,Pasadena,55.91,42.42
20200101,Paso Robles,33.65,117.89
20200101,Patterson,52.74,50.65
20200101,Perris,33.77,127.8
20200101,Petaluma,18.14,103.2
20200101,Pico Rivera,32.59,34.53
20200101,Piedmont,36.42,64.19
20200101,Pinole,14.46,59.81
20200101,Pismo Beach,12.72,72.22
20200101,Pittsburg,18.44,111.24
20200101,Placentia,26.15,81.18
20200101,Placerville,43.81,78.16
20200101,Pleasant Hill,20.2,40.28
20200101,Pleasanton,42.06,43.72
20200101,Plymouth,3.29,62.53
20200101,Point Arena,4.66,43.25
20200101,Pomona,55.85,40.53
20200101,Port Hueneme,1.18,33.03
20200101,Porterville,11.68,116.46
20200101,Portola,29.92,61.56
20200101,Portola Valley,33.54,109.38
20200101,Poway,56.96,57.2
20200101,Rancho Cordova,57.44,54.99
20200101,Rancho Cucamonga,33.99,58.26
20200101,Rancho Mirage,52.71,123.43
20200101,Rancho Palos Verdes,45.62,115.96
20200101,Rancho Santa Margarita,18.04,81.63
20200101,Red Bluff,24.17,73.82
20200101,Redding,52.05,121.82
20200101,Redlands,39.98,80.21
20200101,Redondo Beach,13.15,91.07
20200101,Redwood City,1.86,91.52
20200101,Reedley,28.46,59.73
20200101,Rialto,54.18,58.69
20200101,Richmond,15.88,125.57
20200101,Ridgecrest,37.54,50.2
20200101,Rio Dell,57.39,129.0
20200101,Rio Vista,21.9,91.42
20200101,Ripon,13.33,44.81
20200101,Riverbank,45.81,92.09
20200101,Riverside,9.64,32.57
20200101,Rocklin,34.58,102.72
20200101,Rohnert Park,17.93,39.04
20200101,Rolling Hills,7.43,52.9
20200101,Rolling Hills Estates,30.76,50.86
20200101,Rosemead,45.67,117.23
20200101,Roseville,16.45,95.73
20200101,Ross,23.15,33.45
20200101,Sacramento,29.16,74.68
20200101,St. Helena,24.17,120.75
20200101,Salinas,23.32,48.75
20200101,San Anselmo,41.69,31.69
20200101,San Bernardino,29.31,122.83
20200101,San Bruno,54.83,66.49
20200101,San Carlos,15.53,80.14
20200101,San Clemente,16.47,64.25
20200101,San Diego,8.14,105.74
20200101,San Dimas,54.29,115.42
20200101,San Fernando,27.02,113.16
20200101,San Francisco,0.88,41.54
20200101,San Gabriel,45.29,104.69
20200101,San Jacinto,27.65,61.82
20200101,San Joaquin,41.3,82.89
20200101,San Jose,31.03,55.26
20200101,San Juan Bautista,28.42,52.27
20200101,San Juan Capistrano,16.99,80.3
20200101,San Leandro,10.62,93.38
20200101,San Luis Obispo,33.13,66.0
20200101,San Marcos,13.89,41.35
20200101,San Marino,3.07,114.11
20200101,San Mateo,11.68,55.75
20200101,San Pablo,46.23,61.23
20200101,San Rafael,22.12,74.95
20200101,San Ramon,12.22,86.29
20200101,Sand City,13.57,90.88
20200101,Sanger,49.62,55.99
20200101,Santa Ana,29.38,88.65
20200101,Santa Barbara,53.05,58.34
20200101,Santa Clara,54.74,118.99
20200101,Santa Clarita,23.51,59.56
20200101,Santa Cruz,39.41,118.81
20200101,Santa Fe Springs,27.61,106.34
20200101,Santa Maria,17.05,49.3
20200101,Santa Monica,0.39,62.13
20200101,Santa Paula,47.74,48.69
20200101,Santa Rosa,21.82,104.36
20200101,Santee,33.06,84.68
20200101,Saratoga,21.74,107.12
20200101,Sausalito,28.02,44.44
20200101,Scotts Valley,22.86,71.49
20200101,Seal Beach,56.07,33.64
20200101,Seaside,4.5,123.45
20200101,Sebastopol,6.82,52.48
20200101,Selma,42.71,68.53
20200101,Shafter,38.57,51.43
20200101,Shasta Lake,57.72,36.4
20200101,Sierra Madre,32.82,92.96
20200101,Signal Hill,23.9,113.05
20200101,Simi Valley,43.93,118.02
20200101,Solana Beach,37.04,73.64
20200101,Soledad,52.9,108.21
20200101,Solvang,55.05,41.21
20200101,Sonoma,50.38,38.21
20200101,Sonora,7.0,100.84
20200101,South El Monte,33.39,116.11
20200101,South Gate,25.86,121.46
20200101,South Lake Tahoe,32.38,120.7
20200101,South Pasadena,33.09,41.93
20200101,South San Francisco,25.9,129.3
20200101,Stanton,15.77,108.67
20200101,Stockton,23.23,54.9
20200101,Suisun City,40.0,69.07
20200101,Sunnyvale,17.97,125.94
20200101,Susanville,48.21,104.11
20200101,Sutter Creek,23.03,116.12
20200101,Taft,0.44,55.81
20200101,Tehachapi,46.98,125.03
20200101,Tehama,33.65,34.17
20200101,Temecula,15.07,94.28
20200101,Temple City,41.15,34.35
20200101,Thousand Oaks,9.15,53.25
20200101,Tiburon,11.25,91.11
20200101,Torrance,15.5,32.46
20200101,Tracy,15.72,127.07
20200101,Trinidad,21.66,72.97
20200101,Truckee,30.15,54.12
20200101,Tulare,24.25,127.17
20200101,Tulelake,53.6,104.36
20200101,Turlock,25.75,42.19
20200101,Tustin,7.33,111.7
20200101,Twentynine Palms,21.06,37.7
20200101,Ukiah,33.45,121.91
20200101,Union City,3.89,126.1
20200101,Upland,3.93,57.96
20200101,Vacaville,55.71,128.1
20200101,Vallejo,29.13,111.9
20200101,Ventura,35.71,79.47
20200101,Vernon,31.29,105.2
20200101,Victorville,22.13,114.48
20200101,Villa Park,43.58,41.07
20200101,Visalia,47.24,86.71
20200101,Vista,51.55,111.08
20200101,Walnut,19.96,53.49
20200101,Walnut Creek,39.06,106.65
20200101,Wasco,19.28,94.05
20200101,Waterford,23.33,65.51
20200101,Watsonville,25.51,110.17
20200101,Weed,8.19,108.07
20200101,West Covina,42.4,44.82
20200101,West Hollywood,29.18,90.33
20200101,West Sacramento,4.66,127.98
20200101,Westlake Village,5.7,78.74
20200101,Westminster,2.01,98.45
20200101,Westmorland,16.16,109.92
20200101,Wheatland,11.98,92.77
20200101,Whittier,20.9,99.59
20200101,Wildomar,8.61,101.76
20200101,Williams,56.78,54.5
20200101,Willits,13.79,119.34
20200101,Willows,2.89,33.44
20200101,Windsor,45.81,56.06
20200101,Winters,22.24,129.82
20200101,Woodlake,22.71,43.9
20200101,Woodland,10.59,92.74
20200101,Woodside,17.0,62.86
20200101,Yorba Linda,30.09,122.24
20200101,Yountville,49.82,52.9
20200101,Yreka,33.44,44.74
20200101,Yuba City,26.01,118.73
20200101,Yucaipa,34.83,77.81
20200101,Yucca Valley,51.89,94.78
20200102,Adelanto,34.87,62.73
20200102,Agoura Hills,54.11,64.37
20200102,Alameda,30.08,45.79
20200102,Albany,34.27,129.0
20200102,Alhambra,2.67,69.44
20200102,Aliso Viejo,30.08,77.03
20200102,Alturas,56.77,127.5
20200102,Amador City,36.48,61.89
20200102,American Canyon,55.93,71.33
20200102,Anaheim,26.68,98.71
20200102,Anderson,26.25,99.54
20200102,Angels Camp,29.05,47.93
20200102,Antioch,34.71,126.12
20200102,Apple Valley,9.0,41.71
20200102,Arcadia,48.83,43.71
20200102,Arcata,46.16,124.31
20200102,Arroyo Grande,5.7,86.63
20200102,Artesia,59.03,67.17
20200102,Arvin,30.46,128.34
20200102,Atascadero,19.35,120.31
20200102,Atherton,56.55,48.77
20200102,Atwater,26.64,45.02
20200102,Auburn,57.85,81.15
20200102,Avalon,22.76,125.09
20200102,Avenal,15.91,67.63
20200102,Azusa,38.37,67.37
20200102,Bakersfield,15.84,122.3
20200102,Baldwin Park,35.47,42.35
20200102,Banning,42.09,35.21
20200102,Barstow,52.85,117.82
20200102,Beaumont,7.53,34.13
20200102,Bell,2.18,84.02
20200102,Bell Gardens,7.41,108.96
20200102,Bellflower,26.12,45.56
20200102,Belmont,37.05,64.81
20200102,Belvedere,36.95,93.05
20200102,Benicia,59.12,115.71
20200102,Berkeley,35.2,116.27
20200102,Beverly Hills,6.79,97.01
20200102,Big Bear Lake,5.86,37.44
20200102,Biggs,4.73,71.23
20200102,Bishop,9.93,93.34
20200102,Blue Lake,6.17,91.07
20200102,Blythe,18.79,124.87
20200102,Bradbury,54.17,122.89
20200102,Brawley,8.24,95.59
20200102,Brea,2.01,85.14
20200102,Brentwood,34.62,122.57
20200102,Brisbane,15.96,41.75
20200102,Buellton,13.01,88.14
20200102,Buena Park,27.84,118.53
20200102,Burbank,44.85,77.24
20200102,Burlingame,18.64,41.44
20200102,Calabasas,41.82,41.92
20200102,Calexico,28.06,117.74
20200102,California City,20.09,121.39
20200102,Calimesa,24.46,82.43
20200102,Calipatria,54.31,123.4
20200102,Calistoga,29.12,48.25
20200102,Camarillo,48.32,33.53
20200102,Campbell,51.93,50.5
20200102,Canyon Lake,25.06,126.0
20200102,Capitola,10.02,38.35
20200102,Carlsbad,21.88,127.13
20200102,CarmelbytheSea,38.8,118.15
20200102,Carpinteria,23.56,87.13
20200102,Carson,7.4,114.77
20200102,Cathedral City,0.93,61.21
20200102,Ceres,4.05,66.33
20200102,Cerritos,11.79,121.51
20200102,Chico,38.01,106.96
20200102,Chino,3.98,105.74
20200102,Chino Hills,9.92,113.21
20200102,Chowchilla,2.46,116.66
20200102,Chula Vista,20.32,63.06
20200102,Citrus Heights,48.63,93.62
20200102,Claremont,29.97,42.15
20200102,Clayton,30.81,76.84
20200102,Clearlake,7.59,129.26
20200102,Cloverdale,30.45,102.87
20200102,Clovis,28.56,84.47
20200102,Coachella,48.05,50.81
20200102,Coalinga,37.27,80.01
20200102,Colfax,48.24,53.65
20200102,Colma,19.25,76.73
20200102,Colton,48.66,122.81
20200102,Colusa,11.27,30.29
20200102,Commerce,33.31,102.99
20200102,Compton,27.32,123.72
20200102,Concord,22.79,87.86
20200102,Corcoran,24.47,101.97
20200102,Corning,11.89,31.68
20200102,Corona,38.74,72.83
20200102,Coronado,59.28,55.56
20200102,Corte Madera,59.87,123.4
20200102,Costa Mesa,11.03,40.85
20200102,Cotati,10.49,88.1
20200102,Covina,58.43,60.95
20200102,Crescent City,32.46,107.6
20200102,Cudahy,6.89,55.01
20200102,Culver City,9.49,87.48
20200102,Cupertino,43.47,63.25
20200102,Cypress,44.49,54.45
20200102,Daly City,20.05,126.51
20200102,Dana Point,21.39,103.07
20200102,Danville,7.75,91.56
20200102,Davis,35.47,86.66
20200102,Del Mar,30.98,75.25
20200102,Del Rey Oaks,49.79,57.91
20200102,Delano,34.11,102.32
20200102,Desert Hot Springs,39.24,59.79
20200102,Diamond Bar,40.72,111.01
20200102,Dinuba,16.82,90.35
20200102,Dixon,57.57,78.43
20200102,Dorris,20.98,32.01
20200102,Dos Palos,40.25,57.06
20200102,Downey,57.93,73.14
20200102,Duarte,16.29,94.79
20200102,Dublin,48.65,80.41
20200102,Dunsmuir,37.54,33.83
20200102,East Palo Alto,11.84,99.75
20200102,Eastvale,27.11,94.41
20200102,El Cajon,12.16,92.11
20200102,El Centro,32.73,98.88
20200102,El Cerrito,19.16,85.18
20200102,El Monte,31.04,40.04
20200102,El Segundo,8.36,33.69
20200102,Elk Grove,30.95,32.69
20200102,Emeryville,38.83,100.3
20200102,Encinitas,21.33,77.5
20200102,Escalon,59.38,108.42
20200102,Escondido,16.91,77.73
20200102,Etna,15.81,110.82
20200102,Eureka,21.76,88.52
20200102,Exeter,23.9,77.79
20200102,Fairfax,39.66,100.57
20200102,Fairfield,14.27,81.8
20200102,Farmersville,45.57,96.45
20200102,Ferndale,20.64,121.56
20200102,Fillmore,30.41,85.51
20200102,Firebaugh,6.65,113.07
20200102,Folsom,41.56,48.67
20200102,Fontana,38.32,111.18
20200102,Fort Bragg,6.99,58.35
20200102,Fort Jones,13.03,117.96
20200102,Fortuna,10.59,32.46
20200102,Foster City,12.21,39.28
20200102,Fountain Valley,19.94,38.97
20200102,Fowler,53.62,116.27
20200102,Fremont,20.84,39.99
20200102,Fresno,59.36,65.18
20200102,Fullerton,20.65,111.08
20200102,Galt,13.77,49.95
20200102,Garden Grove,53.56,53.27
20200102,Gardena,24.17,38.31
20200102,Gilroy,41.94,117.39
20200102,Glendale,14.46,99.72
20200102,Glendora,2.5,34.78
20200102,Goleta,41.27,111.06
20200102,Gonzales,48.21,121.9
20200102,Grand Terrace,5.15,128.46
20200102,Grass Valley,0.18,87.19
20200102,Greenfield,43.15,59.66
20200102,Gridley,57.4,127.84
20200102,Grover Beach,22.63,58.53
20200102,Guadalupe,50.97,114.78
20200102,Gustine,35.9,129.01
20200102,Half Moon Bay,30.53,30.25
20200102,Hanford,17.96,99.77
20200102,Hawaiian Gardens,39.28,70.68
20200102,Hawthorne,39.91,102.84
20200102,Hayward,41.91,84.25
20200102,Healdsburg,38.18,123.91
20200102,Hemet,45.14,94.03
20200102,Hercules,45.9,115.51
20200102,Hermosa Beach,31.49,121.86
20200102,Hesperia,51.24,99.86
20200102,Hidden Hills,45.18,44.17
20200102,Highland,2.19,38.38
20200102,Hillsborough,31.81,94.75
20200102,Hollister,49.15,60.4
20200102,Holtville,39.38,106.39
20200102,Hughson,39.03,109.68
20200102,Huntington Beach,58.6,34.09
20200102,Huntington Park,57.73,100.74
20200102,Huron,33.2,99.03
20200102,Imperial,54.58,97.53
20200102,Imperial Beach,20.44,66.37
20200102,Indian Wells,15.45,120.12
20200102,Indio,10.04,83.68
20200102,City of Industry,39.56,129.59
20200102,Inglewood,6.8,36.82
20200102,Ione,26.93,124.96
20200102,Irvine,37.12,102.28
20200102,Irwindale,18.85,95.64
20200102,Isleton,10.15,126.33
20200102,Jackson,41.13,51.78
20200102,Jurupa Valley,46.91,93.46
20200102,Kerman,1.39,53.26
20200102,King City,34.19,84.71
20200102,Kingsburg,18.51,114.17
20200102,La Ca�ada Flintridge,48.3,107.04
20200102,La Habra,41.8,114.79
20200102,La Habra Heights,41.51,90.79
20200102,La Mesa,56.94,125.96
20200102,La Mirada,34.07,116.89
20200102,La Palma,16.72,62.05
20200102,La Puente,31.23,69.0
20200102,La Quinta,55.42,31.61
20200102,La Verne,49.41,34.88
20200102,Lafayette,10.36,44.67
20200102,Laguna Beach,26.16,129.83
20200102,Laguna Hills,44.9,126.37
20200102,Laguna Niguel,12.68,70.68
20200102,Laguna Woods,28.88,105.13
20200102,Lake Elsinore,56.43,30.39
20200102,Lake Forest,2.63,110.05
20200102,Lakeport,53.28,36.37
20200102,Lakewood,42.19,129.91
20200102,Lancaster,35.41,103.03
20200102,Larkspur,56.52,86.62
20200102,Lathrop,55.57,125.25
20200102,Lawndale,40.34,109.1
20200102,Lemon Grove,26.21,76.08
20200102,Lemoore,21.63,38.68
20200102,Lincoln,37.2,38.01
20200102,Lindsay,34.84,108.35
20200102,Live Oak,14.05,71.12
20200102,Livermore,12.29,124.13
20200102,Livingston,47.65,121.81
20200102,Lodi,39.45,58.15
20200102,Loma Linda,53.26,30.94
20200102,Lomita,42.24,118.6
20200102,Lompoc,57.92,92.32
20200102,Long Beach,45.55,88.78
20200102,Loomis,42.09,54.03
20200102,Los Alamitos,3.01,125.69
20200102,Los Altos,17.63,39.92
20200102,Los Altos Hills,25.91,48.57
20200102,Los Angeles,53.14,40.73
20200102,Los Banos,21.8,52.32
20200102,Los Gatos,16.46,42.23
20200102,Loyalton,33.47,95.05
20200102,Lynwood,13.96,73.64
20200102,Madera,29.17,113.58
20200102,Malibu,32.09,88.42
20200102,Mammoth Lakes,26.61,114.71
20200102,Manhattan Beach,38.2,127.77
20200102,Manteca,53.44,95.52
20200102,Maricopa,54.82,84.21
20200102,Marina,52.99,44.54
20200102,Martinez,1.02,66.57
20200102,Marysville,24.3,108.36
20200102,Maywood,3.67,121.81
20200102,McFarland,36.54,121.24
20200102,Mendota,44.92,32.19
20200102,Menifee,45.23,74.65
20200102,Menlo Park,19.42,126.03
20200102,Merced,31.92,57.5
20200102,Mill Valley,12.74,122.08
20200102,Millbrae,16.82,101.59
20200102,Milpitas,32.98,96.08
20200102,Mission Viejo,31.15,94.77
20200102,Modesto,53.94,108.07
20200102,Monrovia,42.91,96.58
20200102,Montague,43.59,129.17
20200102,Montclair,48.31,88.72
20200102,Monte Sereno,6.95,65.32
20200102,Montebello,31.02,79.53
20200102,Monterey,14.96,31.55
20200102,Monterey Park,49.44,122.8
20200102,Moorpark,52.79,40.71
20200102,Moraga,29.29,107.9
20200102,Moreno Valley,46.96,55.48
20200102,Morgan Hill,0.32,63.83
20200102,Morro Bay,28.06,113.49
20200102,Mount Shasta,21.07,98.77
20200102,Mountain View,13.66,40.58
20200102,Murrieta,16.89,43.69
20200102,Napa,15.66,92.45
20200102,National City,48.15,70.75
20200102,Needles,36.88,112.28
20200102,Nevada City,33.18,61.73
20200102,Newark,42.92,116.5
20200102,Newman,50.34,116.95
20200102,Newport Beach,22.37,46.56
20200102,Norco,44.59,115.04
20200102,Norwalk,37.29,52.6
20200102,Novato,27.39,77.69
20200102,Oakdale,8.72,32.16
20200102,Oakland,9.47,58.98
20200102,Oakley,45.69,78.38
20200102,Oceanside,23.09,60.38
20200102,Ojai,41.13,76.67
